取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2025/08/31 18:04:33,-,"10,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****21,-,-,02077615470021451776
2025/08/31 18:04:33,"7,501",-,-,-,-,-,支払い,コープみらい - コープ葛飾白鳥店,PayPay残高,-,-,04788763740765511687
2025/08/31 17:45:20,-,"10,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****21,-,-,02077605557236621359
2025/08/31 17:45:20,"6,006",-,-,-,-,-,支払い,しまむら - しまむら　コープ葛飾白鳥店,PayPay残高,-,-,04788753836570697738
2025/08/31 17:21:57,"1,430",-,-,-,-,-,支払い,ダイソー - コープ葛飾白鳥店,PayPay残高,-,-,04788741784892579841
2025/08/31 17:06:33,"5,115",-,-,-,-,-,支払い,スギ薬局グループ - スギドラッグ葛飾白鳥店,PayPay残高,-,-,04788733856382779399
2025/08/31 13:10:47,-,"10,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****21,-,-,02077464063833899011
2025/08/31 13:10:47,"3,129",-,-,-,-,-,支払い,セブン-イレブン - 葛飾東金町２丁目,PayPay残高,-,-,04788612334577885195
2025/08/30 17:16:39,152,-,-,-,-,-,支払い,マカロニ市場 - 松戸店,PayPay残高,-,-,04787996882944917508
2025/08/30 17:16:00,-,"10,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****21,-,-,02076848277193244673
2025/08/30 17:16:00,"8,336",-,-,-,-,-,支払い,マカロニ市場 - 松戸店,PayPay残高,-,-,04787996556527558656
2025/08/29 17:35:38,"1,445",-,-,-,-,-,支払い,から好し - から好し金町店,PayPay残高,-,-,04787264505120907265
2025/08/29 14:27:58,"8,822",-,-,-,-,-,支払い,FEPA - FEPA CAFE＆PATISSERIE,PayPay残高,-,-,04787167782458228736
2025/08/29 14:27:58,-,"10,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****21,-,-,02076019503123267589
2025/08/29 07:37:40,781,-,-,-,-,-,支払い,セブン-イレブン - 葛飾東金町２丁目,PayPay残高,-,-,04786956315447640066
2025/08/28 18:50:48,100,-,-,-,-,-,支払い,イケア - IKEA新三郷,PayPay残高,-,-,04786561066787872777
2025/08/28 18:46:32,-,10,-,-,-,-,ポイント、残高の獲得,イケア,PayPayポイント,-,-,04786558867764264975
2025/08/28 18:46:32,"1,198",-,-,-,-,-,支払い,イケア - IKEA新三郷,PayPay残高,-,-,04786558867764264975
